uuid,question,options,answer,answer_letter,discipline,field,subfield,difficulty,is_calculation
524e486fb43d40cba4828d5808958697,"After the founding of New China, the basic contradictions that still existed in China were","[The contradiction between New China and the imperialist bloc, The contradiction between New China and capitalism, The contradiction between New China and imperialism, The contradiction between New China and the imperialist countries, The contradiction between the peasant class and the bourgeoisie, The contradiction between the working class and the bourgeoisie, The contradiction between New China and the capitalist countries, The contradiction between New China and the capitalist bloc, The contradiction between New China and feudalism, The contradiction between the working class and imperialism]",The contradiction between New China and imperialism,C,Law,Political Science,Political Science,easy,false
8d82bea93a25430286612e12426c467d,"China unwaveringly pursues an independent foreign policy of peace and follows a path of peaceful development, which is determined by the country's ( ).","[socialist nature and international status, socialist nature and global influence, national strategy, socialist nature and national strategy, socialist principles and international strategy, socialist principles and national conditions, national conditions, ideology, socialist principles and international status, socialist principles and global standing]",socialist nature and international status,A,Law,Political Science,Political Science,middle,false
f757c026a9804e74bea0376a6b0f012f,"The 'NPCSC Interpretation' refers to the legislative interpretation made by the Standing Committee of the National People's Congress, the permanent legislative body of the People's Republic of China, on the Basic Law of the Hong Kong Special Administrative Region, which is the constitutional document of the Hong Kong Special Administrative Region formulated by the National People's Congress, the highest state power organ. Which of the following cases is a judgment made by the courts of the Hong Kong Special Administrative Region after actively requesting the 'NPCSC Interpretation'?","['The Director of Immigration v. Chong Fung Yuen [2001] HKCFA 48; [2001] 2 HKLRD 533; (2001) 4 HKCFAR 211; FACV 26/2001 (20 July 2001)', 'The Director of Immigration v. Chong Fung Yuen [2001] HKCFA 48; [2001] 2 HKLRD 533; (2001) 4 HKCFAR 211; FACV 26/2000 (21 July 2000)', 'The Director of Immigration v. Chong Fung Yuen [2001] HKCFA 48; [2001] 2 HKLRD 533; (2001) 4 HKCFAR 211; FACV 26/2000 (23 July 2001)', 'The Director of Immigration v. Chong Fung Yuen [2001] HKCFA 48; [2001] 2 HKLRD 533; (2001) 4 HKCFAR 211; FACV 26/2000 (19 July 2001)', 'Sixtus Leung Chung Hang v. Chief Executive of The Hong Kong Special Administrative Region, Secretary for Justice [2017] HKCFA 55; (2017) 20 HKCFAR 390; FAMV 9/2017 (1 September 2017)', 'The Director of Immigration v. Chong Fung Yuen [2001] HKCFA 48; [2001] 2 HKLRD 533; (2001) 4 HKCFAR 211; FACV 26/2000 (21 July 2001)', 'Ng Ka Ling and Another v. The Director of Immigration [1999] HKCFA 72; [1999] 1 HKLRD 315; (1999) 2 HKCFAR 4; [1999] 1 HKC 291 ; FACV 14/1998 (29 January 1999)', 'The Director of Immigration v. Chong Fung Yuen [2001] HKCFA 48; [2001] 2 HKLRD 533; (2001) 4 HKCFAR 211; FACV 26/2000 (20 July 2001)', 'Democratic Republic of the Congo and Others v. FG Hemisphere Associates LLC [2011] HKCFA 41; (2011) 14 HKCFAR 95; [2011] 4 HKC 151; FACV 5/2010 (8 June 2011)', 'The Director of Immigration v. Chong Fung Yuen [2001] HKCFA 48; [2001] 2 HKLRD 533; (2001) 4 HKCFAR 211; FACV 26/2000 (22 July 2001)']",The Director of Immigration v. Chong Fung Yuen [2001] HKCFA 48; [2001] 2 HKLRD 533; (2001) 4 HKCFAR 211; FACV 26/2000 (20 July 2001),H,Law,Law,Constitutional and Administrative Law,middle,false
6180747e412648c9abb614133c62c267,"After completing a project, renovation company A sold the remaining floorboards and other items to property management company B. However, the approved business scope on A's business license does not include the sale of floorboards. How is the legal nature of the transaction between A and B?","[It is a civil legal act subject to regulatory approval, It is a partially valid civil legal act, It is a civil legal act with limited validity, It is a civil legal act with conditional validity, It is a civil legal act subject to judicial review, It is a valid civil legal act, It is an invalid civil legal act, It is a revocable civil legal act, It is a civil legal act subject to administrative review, It is a civil legal act of uncertain validity]",It is a valid civil legal act,F,Law,Law,Civil and Commercial Law,middle,false
511f4be59ef549e09e543df8f1c8cdfa,Gifts and gratuitous entrustment contracts belong to:,"['bilateral legal act, consensual legal act', 'bilateral legal act, gratuitous legal act, real legal act', 'bilateral legal act, gratuitous legal act, real legal act, consensual legal act', 'unilateral legal act, gratuitous legal act, real legal act', 'unilateral legal act, gratuitous legal act, consensual legal act, real legal act', 'bilateral legal act, gratuitous legal act, consensual legal act', 'unilateral legal act, real legal act', 'unilateral legal act, consensual legal act', 'bilateral legal act, real legal act', 'unilateral legal act, gratuitous legal act, consensual legal act']","bilateral legal act, gratuitous legal act, consensual legal act",F,Law,Law,Contract Law,middle,false
5383a1f504814c13a36f308540f2382b,"The New York Times published an advertisement accusing the police authorities in Montgomery, Alabama, of brutally suppressing civil rights leader Martin Luther King Jr. and his supporters. Sullivan, as the head of the local police department, believed that the advertisement's report was inaccurate and filed a civil lawsuit with the Alabama court, demanding $500,000 in damages. Both the trial court and the state supreme court supported Sullivan's request, but the Supreme Court overturned the Alabama Supreme Court's decision. The reason is?","['The New York Times\' speech, while critical, should be protected under the First Amendment, but only if it does not cause substantial public harm', 'The New York Times\' speech, while critical, did not constitute a significant threat to public officials, and thus should be protected by law', 'The New York Times\' speech, while controversial, did not incite immediate violence or lawlessness', 'The New York Times\' speech, while critical, did not constitute a significant threat to public officials, and thus should be protected under the First Amendment, but only if it does not cause substantial public harm', 'Alabama\'s racism violates fundamental moral principles and should not be protected by law', 'Debate on public issues should be uninhibited, robust, and wide-open', 'The New York Times\' speech, while critical, did not constitute a direct threat to public officials, and thus should be protected by law', 'The New York Times\' report was not significantly inaccurate to constitute defamation', 'The New York Times\' speech, while critical, did not constitute a significant threat to public officials, and thus should be protected under the First Amendment', 'The New York Times\' speech did not present a \'clear and present danger\' to public order, and therefore should be protected by law']","Debate on public issues should be uninhibited, robust, and wide-open",F,Law,Law,Constitutional and Administrative Law,middle,false
8bcf0d76f63a4e49a4c0ae8045f0e456,It is () that imposes individual international criminal responsibility on war criminals.,"[Charter of the United Nations, Washington Naval Treaty, Statute of the International Criminal Court, St. Petersburg Declaration, Charter of the International Military Tribunal at Nuremberg, Hague Treaty IV, Treaty of the Battle of London, Hague Regulations on the Laws and Customs of Land Operations, Geneva Conventions, International human rights conventions]",Charter of the International Military Tribunal at Nuremberg,E,Law,Law,Military Law,middle,false
e192839f463b45d397e537247ab0a9a4,Which of the following options is true about Law and Freedom?,"['Freedom is free from any law, because freedom is inherently inviolable', Freedom can completely override order before the law, The sole purpose of the law is to preserve absolute liberty and brook no restrictions, 'On the scales of law, order must give complete way to freedom', 'Freedom is sacred, but there is also a limit, and this limit should be governed by the law
The law is stipulated', 'Freedom is sacred, but there is also a limit, and this limit should be determined by law', 'From an empirical point of view, all laws are free laws', Any law that restricts the freedom of the individual is necessarily unjust, The function of legal norms is only to eliminate all unfreedoms without the need to guarantee order, 'Freedom is supreme and sacred, but not by laws that restrict it
Real law']","Freedom is sacred, but there is also a limit, and this limit should be determined by law",F,Law,Law,Law and Social Governance,middle,false
57dd2a86a07c435bb51944f2dc675c5b,"In 1999, there was an attempted military coup d'état in country A, and the coup leader Langman fled to country B. The court of country A sentenced Longman in absentia to 10 years in prison. There is no special agreement between the two countries. Which of the following options is correct under the relevant rules of international law?","[State B may grant asylum to Longman, State B is obliged to grant Longman asylum, 'After the judgment of the court of country A takes effect, country B is obliged to arrest and hand over Longman to country A', State A may unilaterally declare its laws valid in the territory of State B, State A may directly send agents into State B to apprehend suspects without their consent, 'State B must determine whether or not a suspect is extradited in accordance with the law of State A, without regard to international law or domestic law', State B does not need any legal basis to refuse a request for extradition, State A has enforcement powers over the citizens and legal persons of State B on a global scale, All fugitive suspects have an obligation to provide asylum to all fugitives, 'After the judgment of the court of country A takes effect, country A may send troops into country B to arrest Langman and enforce the judgment']",State B may grant asylum to Longman,A,Law,Law,International Law,middle,false
2cfc95ffa68f42d9bfc191921a707f77,"A state imposes a tax on nonresident photographers who operate photographic studios in the state at a rate of 2% of their state-derived income above $12,000. This income tax exempts taxable income earned outside of the state by photographers who live in the state. Moreover, resident-photographers of the state are not taxed on their in-state earned income. A photographer who operates a studio in the state but is a resident of another state, challenges the constitutionality of this tax. Which of the following provisions would furnish the most applicable basis for this constitutional challenge?","[The equal protection clause of the Fourteenth Amendment., The commerce clause., The establishment clause of the First Amendment., The right to privacy clause of the Fourth Amendment., The right to a fair trial clause of the Sixth Amendment., Both The right to privacy clause of the Fourth Amendment and The establishment clause of the First Amendment are correct, The supremacy clause of Article VI., The privileges and immunities clause of ArticleIv., The right to work clause of the Fifth Amendment., The freedom of speech clause of the First Amendment.]",The privileges and immunities clause of ArticleIv.,H,Law,Law,Constitutional and Administrative Law,middle,false
ce38c58aedb74a91a48456c0f8e1db69,"A woman owned a 10-acre tract of rural farmland in fee simple absolute. The woman agreed to sell the farmland to a man, and each signed a writing stating that the farmland was beitig sold: "". . . for $10,000, receipt of which is acknowledged. "" In actuality, the man had not yet paid the woman the $10,000. At the date set for closing, the woman transferred a deed to the farmland to the man, who gave the woman a check for $10,000. Howevei, a few days after the woman deposited the check, she received notice from her bank that the check had not cleared, due to insufficient funds in the account. The woman then brought suit against the man. At trial, the woman seeks to testify that the man did not in fact pay her the $10,000 as recited in their written instrument. The man objects to the woman's proposed testimony. Will the trial court judge be correct in sustaining the man's objection?","['Yes, because the doctrine of promissory estoppel will prevent the woman from denying her own signed acknowledgment that she received the $10,000.', 'Both Yes, because the doctrine of promissory estoppel will prevent the woman from denying her own signed acknowledgment that she received the $10,000 and Yes, because the woman accepted the check as payment and the risk of the check not clearing falls on her are correct', 'Yes, because the parol evidence rule prohibits the introduction of oral agreements that contradict written agreements.', 'No, because the woman can demonstrate that the man has breached the contract.', 'No, because the man\'s act of issuing a check that did not clear is evidence of fraudulent intent.', 'Yes, because the written instrument appears to be a complete integration of the parties\' agreement.', 'No, because the parol evidence rule does not operate to exclude evidence to show lack or want of consideration.', 'No, because the parol evidence rule does not apply to events occurring after the forming of the writing.', 'Yes, because the woman accepted the check as payment and the risk of the check not clearing falls on her.', 'Yes, because the woman\'s acknowledgment of receipt in the written instrument is conclusive proof of payment.']","No, because the parol evidence rule does not operate to exclude evidence to show lack or want of consideration.",G,Law,Law,Contract Law,middle,false
6082513c8dba4ec68aa68f1bf5854d09,What is the concept called that suggests crime can be reduced by altering the physical features of an environment?,"[Defensible space, Zone of transition, Sanitized zone, Defended area, Environmental design, Environmental modification, Defended space, None of the other choices, Environmental deterrence, Environmental defense]",Defensible space,A,Law,Law,Law and Social Governance,easy,false
44177aaf19594816a70bf2bc65df2a44,"Maximal permissible hours of work per person per week (including the overtime) under the Factory Act 1976, should not exceed_______?","[42 hours, 61 hours, 62 hours, 60 hours, 59 hours, 56 hours, 48 hours, 54 hours, 58 hours, 57 hours]",60 hours,D,Law,Law,Law and Social Governance,easy,false
46cff35e42354b98a751435ba0f6b5ee,What law governs the working conditions in Indian factories?,"['Factories and Machinery Act, 1948', 'Industrial Disputes Act, 1947', 'Factories and Workshops Act, 1947', 'Employees\' State Insurance Act, 1948', 'Minimum Wages Act, 1948', 'Factory Act, 1948', 'Factories and Workshops Act, 1948']","Factory Act, 1948",F,Law,Law,Law and Social Governance,easy,false
640478524c95489da6b73e0e0cf9a9b7,Where can the main regulations for employees' health and safety be found?,"['The Occupational Safety and Health Act, 1970', 'The Industrial Disputes Act, 1947', 'The Mines Act, 1952', 'The Factories Act, 1948', 'The Employees\' Compensation Act, 1923', 'The Factories Act, 1952', 'The Factories Act, 1954', 'The Factories Act, 1958', 'The Industrial Employment (Standing Orders) Act, 1946', 'The Factories Act, 1950']","The Factories Act, 1948",D,Law,Law,Law and Social Governance,easy,false
32d2f5bec7d4446d8311063492216f31,The factories Act (1976) prohibits employmnet of a person below -,"[12 years, 13 years, 14 years, 16 years, 15 years, 18 years, 17 years, 19 years, 21 years, 10 years]",14 years,C,Law,Law,Law and Social Governance,easy,false
4c7ee562f08d4f7caf8d5343ab953989,What words were included in the preamble by the 42nd Constitutional Amendment?,"['Socialist, secular, and democratic', 'Socialist, secular, and democratic republic', Democracy, 'Socialist, secular and integrity', Republic, 'Socialist, secular, and democratic integrity', None of the other choices]","Socialist, secular and integrity",D,Law,Political Science,Political Science,easy,false
a2d543723b2446c388ae179a9c1f463e,"Who were the first two women MLAs elected from Nagaland on March 2, 2023?","[Nuzota Swuro and Nini Sekhose, Salhoutuonuo Kruse and Nuzota Swuro, Salhoutuonuo Kruse and Hekani Jakhalu, Rano M Shaiza and Khekiho Zhimomi, None of the other choices, Salhoutuonuo Kruse and Nini Sekhose, Salhoutuonuo Kruse and Rano M Shaiza]",Salhoutuonuo Kruse and Hekani Jakhalu,C,Law,Political Science,Political Science,easy,false
05e83545f2af4288a87b16e1b32fda9f,"On the recommendations of which one of the following Reports was the office of the Ombudsman-like institution, known as the Parliamentary Commissioner for Administration, established in the United Kingdom?","[Sir John Whyatt Report, Fulton Report, Northcote-Trevelyan Report, Aitchison Report]",Sir John Whyatt Report,A,Law,Political Science,Political Science,middle,false
ed5a5d2521d5444aa2e520811864d7ee,"In assessing whether leaders of the American Communist Party could be prosecuted under the Smith Act for conspiring to teach and advocate the overthrow of the U.S. government, a plurality of the justices argued that __.","[advocacy of violent overthrow
was constitutionally protected under the First Amendment., the Smith Act lacked
sufficient clarity in defining what constitutes advocacy and teaching., prosecution required clear
evidence that violence was imminent and had broad public support., mere abstract discussions
were not sufficient to pose any real threat to national security., 'the activities of the
defendants represented a ""clear and present danger"" of an attempt to overthrow the government.', 'the government\'s evidence
did not convincingly prove any imminent threat to public safety.', the only conspiracy that
occurred was an effort to persuade Americans to believe something., historical context suggested
that the leaders did not possess the intent necessary for prosecution., ideological beliefs alone
did not meet the threshold of actionable criminal conspiracy., 'the defendants\' teachings
were protected as a form of academic exploration and debate.']","the activities of the
defendants represented a ""clear and present danger"" of an attempt to overthrow the government.",E,Law,Law,Constitutional and Administrative Law,middle,false
3459c52091aa4904b40d904f77c4ed6e,May have the authority to ____ a civilian suspect on installation or _____ a military suspect.,"['Seize, Confiscate.', 'Monitor, Direct.', 'Watch, Command.', 'Identify, Investigate.', 'Arrest, Transport.', 'Observe, Capture.', 'Search, Escort.', 'Hold, Examine.', 'Detain, Apprehend.', 'Question, Escort.']","Detain, Apprehend.",I,Law,Law,Military Law,easy,false
95e9d38da8ae4812808e247aee0c5ef7,Telling off the boss as a civilian would be considered _________________ ___________________ __________________ in the military.,"[Disrespect toward superior, Support for leadership, Endorsement from authority, Encouragement toward leader, Agreement with peers, Admiration of supervisor, Compliance with orders, Motivation for colleagues, Consideration for elders, Consultation with mentors]",Disrespect toward superior,A,Law,Law,Military Law,easy,false
ff58bc2a8474416cb600735e6c74082b,Military justice during the American Civil War was governed by the 1863 LIEBER CODE. The Articles of War were superseded in 1951 by the __________________ _______________ _______ _____________________ ___________________.(UCMJ).,"[Unifying Clause for Mandatory Justices., Uniform Code of Military Justice., Universal Charter of Maritime Jurisprudence., Unified Coalition of Military Jurists., Uniform Convention of Martial Juries., Unilateral Code of Militant Judgments., Undisputed Charter of Major Justification., United Conduct for Martial Judgments., Ultimate Charter of Martial Jurisdiction., Uncompromised Code of Mobility Jurisdiction.]",Uniform Code of Military Justice.,B,Law,Law,Military Law,easy,false
ebe0681c5fde436fb1032a9908a7da01,The institution with ultimate control within the EU is ( ).,"[Council of the European Union, Court of Auditors, European Court of Justice, European Parliament, Agency for Fundamental Rights, European Central Bank, Committee of the Regions, Council of Ministers, European Commission, Economic and Social Committee]",Council of Ministers,H,Law,Political Science,Political Science,easy,false
5df715199c1143eca88a6e102f6afee0,"Hegel believes that in the stage of abstract law, it goes through three phases in sequence: ownership, ( ), and illegality.","[Exchange, Sale, Claim, Contract, Accord, Transaction, Obligation, Possession, Agreement, Covenant]",Contract,D,Law,Law,Legal Theory and Legal History,middle,false
bdc3508e075245a695e057a71205ae4b,The three components of Hegel's philosophy of law system are ( ) ?,"['Private Law, Public Law, and International Law', 'Analytic Law, Social Law, and Moral Law', 'Descriptive Law, Prescriptive Law, and Theoretical Law', 'Empirical Law, Legal Positivism, and Ethical Law', 'Religious Law, Common Law, and Civil Law', 'International Statutes, Local Ordinances, and Administrative Law', 'Subjective Law, Objective Law, and Positive Law', 'Natural Law, Statutory Law, and Customary Law', 'Abstract methods, morality, and ethics', 'Procedural Law, Theoretical Law, and Normative Law']","Abstract methods, morality, and ethics",I,Law,Law,Legal Theory and Legal History,middle,false
a2ae6cf4ad764f4880ee20e09a91f730,The litigation status of a third party with an independent claim is equivalent to ()?,"[Mediator, Legal Advisor, Court Clerk, Jury Member, Witness, Arbitrator, Defendant, Plaintiff, Determine the litigation status of the third party based on their claim, Neither the plaintiff nor the defendant]",Plaintiff,H,Law,Law,Procedural Law,easy,false
5cdf7ece63f64e29a849cdad5d332c7e,"Who compared legislative power to the ""heart of the nation""?","[Rousseau, Spinoza, Descartes, Voltaire, Kant, Diderot, Montesquieu, Locke, Hobbes, Hume]",Rousseau,A,Law,Law,Legal Theory and Legal History,easy,false
b252d811aef94161abd79fd9acfc516e,The drafting of international law by intergovernmental organizations began in the () century?,"[20, 12, 14, 21, 16, 18, 19, 13, 17, 15]",19,G,Law,Law,Legal Theory and Legal History,easy,false
